Question,Answer,LLMQuestionDifficulty,IsAnswerCorrect_0,QuestionRelevancy_0,QuestionDifficulty_0,IsAnswerCorrect_1,QuestionRelevancy_1,QuestionDifficulty_1,IsAnswerCorrect_2,QuestionRelevancy_2,QuestionDifficulty_2
ما هدف الحرب النفسية التي ذكرها المتحدث؟,القتل النفسي,Challenging,Correct,Relevant,Challenging,Correct,Relevant,Moderate,Correct,Relevant,Challenging
حسب النص، وعي من الذي تم التلاعب به؟,وعي المجتمع.,Moderate,Correct,Relevant,Challenging,Correct,Relevant,Easy,Correct,Relevant,Moderate
بماذا يعتبر الكافيين على مستوى العالم حسب النص؟,الماده ذات التاثير النفسي الاكثر استخداما في العالم كله,N/A,Correct,Relevant,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy
ما هي طبيعة تأثير الكافيين على وظائف المخ حسب النص؟,تأثيره مغير مؤقت.,Moderate,Correct,Relevant,Moderate,Correct,Relevant,Moderate,Correct,Relevant,Easy
ما هو متوسط استهلاك الكافيين اليومي على مستوى العالم؟,من 110 مل غرام لي 300 مل غرام,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy
كم تبلغ نسبة الكافيين في كوب القهوة العادي المنتشر؟,حوالي 95 مل غرام,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy
إيه ممكن يحصل لو مستهلك كافيين منتظم وقف فجأة؟,الشعور بالنعاس الشديد,N/A,Correct,Relevant,Challenging,Correct,Relevant,Easy,Correct,Relevant,Moderate
ما هي العلاقة بين بنية الكافيين الكيميائية والأدينوسين؟,بنيتهما الكيميائية متشابهة,Moderate,Correct,Relevant,Moderate,Correct,Relevant,Easy,Correct,Relevant,Easy
ما هما الناقلان العصبيان اللذان يتأثران عند تثبيط الأدينوسين بفعل الكافيين؟,الأدرينالين والدوبامين.,Challenging,Correct,Relevant,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy
إيه اللي بيحصل لمستقبلات الأدينوسين عند اللي بيستهلكوا الكافيين بكثرة؟,مستقبلات الادينوسين في الدماغ بتزيد عندهم,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy
إيه اللي بيحصل لفاعلية الكافيين مع الاستخدام المستمر؟,فاعليتها بتقل,Challenging,Correct,Relevant,Challenging,Correct,Relevant,Easy,Correct,Relevant,Moderate
كيف يختلف انطباع المتحدث عن سكان شيكاغو عن سمعتها؟,وجد الناس رايقين ومتعاونين,Challenging,Correct,Relevant,Moderate,Correct,Relevant,Easy,Correct,Relevant,Moderate
ما هو الانطباع الذي كونه المتحدث عن شعب شيكاغو والذي يتناقض مع السمعة الشائعة للمدينة؟,شعبها رايق ومتعاون.,N/A,Correct,Relevant,Moderate,Correct,Relevant,Easy,Correct,Relevant,Moderate
بماذا يواجه المتحدث الصورة النمطية لشيكاغو؟,بإنجازها المعماري.,Challenging,Correct,Relevant,Challenging,Correct,Relevant,Moderate,Correct,Relevant,Moderate
إيه الرسالة الضمنية اللي بيقدمها المتحدث عن السفر؟,تحدي الصور النمطية.,Challenging,Correct,Relevant,Challenging,Correct,Relevant,Challenging,Incorrect,Relevant,Moderate
ما هو الترتيب الاقتصادي لمدينة شيكاغو على مستوى أمريكا؟,ثالث اكبر اقتصاد في امريكا كلها,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy
ما هو اسم أغلى شارع في شيكاغو الذي يبيع الماركات العالمية الفاخرة؟,جولد كوست,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy
إلى أي بلد ينتمي المتحدث الذي يستكشف ثقافات العالم؟,مصر,Moderate,Correct,Relevant,Moderate,Correct,Relevant,Easy,Correct,Relevant,Easy
إيه السمة اللي بتميز رحلات المتحدث حول العالم؟,المغامرة.,Moderate,Correct,Relevant,Moderate,Correct,Relevant,Easy,Correct,Relevant,Moderate
ما هي حشوة ساندوتش الكرواسان الذي تناوله المتحدث في وجبة الإفطار؟,التونه والزبيب وعليها شيدر من فوق سايحه,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy,Correct,Relevant,Easy
